number,wl,c,u
1,305.33,-5.76733624010316,13.1934733907528
2,308.66,-4.73537331573993,4.46054837556716
3,311.98,-1.68661496799232,7.11305392155984
4,315.31,-1.34897524349222,0.325410483322117
5,318.63,-0.817590947425621,3.23946614730973
6,321.96,-0.0549546048638914,2.15834139967262
7,325.29,-3.53879061035259,0.944961495581964
8,328.62,-2.75838503168791,1.01701715346032
9,331.95,-1.28409806644077,0.689232691585433
10,335.28,-1.26580281729831,1.49628692810165
11,338.61,-1.51945154579726,1.13242002775987
12,341.94,-1.15108204189257,0.57477772651798
13,345.27,-1.86998084462094,0.620777544495689
14,348.6,-1.65459646613683,0.525015855757258
15,351.94,-0.912753656227413,0.951391853580412
16,355.27,-0.841896050256359,0.779828803908903
17,358.61,-0.640240203435318,0.46525043524635
18,361.94,-0.875561257814332,0.570738161882978
19,365.28,-0.965639392009087,0.407729779185383
20,368.61,-1.02605449192184,0.622342563392717
21,371.95,-1.07297155206983,0.567288176134902
22,375.29,-0.863603081374485,0.290596489318566
23,378.62,-0.833273861748891,0.117196918624726
24,381.96,-0.876795931269842,0.170310041139247
25,385.3,-1.19271045422962,0.325725525581763
26,388.64,-1.22615192019059,0.372288248915008
27,391.98,-1.15054037508797,0.30933976410074
28,395.32,-0.909555106951096,0.270388563661155
29,398.66,-0.966601164838868,0.231152781450382
30,402,-1.14109109160174,0.337860256753641
31,405.34,-1.17821383639914,0.250862641262132
32,408.68,-1.11668354403307,0.216539778626267
33,412.03,-1.18351579917851,0.2271103587621
34,415.37,-1.15235245318242,0.284500655546342
35,418.71,-1.13253976152663,0.333069558515481
36,422.05,-1.20670675986959,0.315029524329613
37,425.4,-1.18112579171644,0.198958044488728
38,428.74,-1.17807896869979,0.192738490829425
39,432.09,-1.17872688689013,0.297032570683848
40,435.43,-1.11758154249505,0.328039132963861
41,438.78,-1.08239782520687,0.275194190667854
42,442.12,-1.149058238936,0.203149765941188
43,445.47,-1.13319152826905,0.21245908940289
44,448.81,-1.05421725600921,0.232792210402
45,452.16,-1.01381322181835,0.268688521224227
46,455.51,-0.918677728896855,0.281240783311357
47,458.85,-0.911485307900742,0.253147006579074
48,462.2,-0.85899903320685,0.210327358481564
49,465.55,-0.877055048967908,0.215510428168845
50,468.89,-0.90561774175812,0.296620317081106
51,472.24,-0.8361849218218,0.263246993324156
52,475.59,-0.782988824748986,0.226240978084265
53,478.94,-0.75875006990439,0.229948691126619
54,482.29,-0.748906142171602,0.244799034794354
55,485.63,-0.729449324578436,0.230568954871155
56,488.98,-0.741483997663797,0.248611225919368
57,492.33,-0.665869718205816,0.222689228072129
58,495.68,-0.58100144925478,0.232344654367402
59,499.03,-0.577173805736603,0.255946098096468
60,502.38,-0.563871161217683,0.25389354146834
61,505.73,-0.530246910607173,0.234545460244101
62,509.08,-0.50639698048725,0.224942995976356
63,512.43,-0.481744302388341,0.260256962474875
64,515.78,-0.475718983026642,0.263057177648884
65,519.12,-0.47762678962853,0.251158576408437
66,522.47,-0.410949471543407,0.218279103156699
67,525.82,-0.431319314361581,0.238093344068572
68,529.17,-0.413142191864038,0.240139755366917
69,532.52,-0.406139713139366,0.266586488312479
70,535.87,-0.409095430432521,0.278249601195157
71,539.22,-0.374140333758294,0.242780991292648
72,542.57,-0.380519070627964,0.205150261406952
73,545.92,-0.419495568776089,0.249681383127648
74,549.27,-0.388379164192017,0.261850720695406
75,552.62,-0.390773131426515,0.26061569295666
76,555.97,-0.362228601641944,0.241838894082824
77,559.32,-0.339981779246225,0.24328298786311
78,562.67,-0.306894423280389,0.244357434764454
79,566.02,-0.24837650522741,0.262005127656263
80,569.37,-0.187877521039729,0.255104787326384
81,572.71,-0.133006300001309,0.26012662954114
82,576.06,-0.0968438851590901,0.23256957655724
83,579.41,-0.0969427243007121,0.242292795571582
84,582.76,-0.115512970146666,0.249956563856706
85,586.11,-0.0876036760095264,0.266048112886511
86,589.46,-0.12233009488741,0.258739637648772
87,592.8,-0.296578986107496,0.297053343512694
88,596.15,-0.456932290358713,0.359383160689648
89,599.5,-0.320303405884019,0.328804403477063
