number,wl,c,u
1,307.69,-2.002,0.876
2,311.02,-2.459,0.667
3,314.34,-2.179,0.416
4,317.66,-2.025,0.57
5,320.99,-1.873,0.396
6,324.31,-1.825,0.197
7,327.63,-1.463,0.347
8,330.96,-1.167,0.239
9,334.29,-1.095,0.171
10,337.61,-0.985,0.184
11,340.94,-1.007,0.239
12,344.27,-0.821,0.134
13,347.6,-0.692,0.111
14,350.93,-0.699,0.127
15,354.26,-0.646,0.105
16,357.59,-0.652,0.118
17,360.92,-0.598,0.097
18,364.25,-0.569,0.11
19,367.58,-0.631,0.075
20,370.91,-0.684,0.055
21,374.24,-0.696,0.071
22,377.58,-0.757,0.061
23,380.91,-0.797,0.061
24,384.24,-0.819,0.074
25,387.58,-0.882,0.092
26,390.91,-0.856,0.05
27,394.25,-0.869,0.075
28,397.58,-0.896,0.068
29,400.92,-0.904,0.051
30,404.25,-0.854,0.065
31,407.59,-0.88,0.058
32,410.93,-0.881,0.051
33,414.27,-0.869,0.046
34,417.6,-0.839,0.037
35,420.94,-0.821,0.039
36,424.28,-0.771,0.044
37,427.62,-0.755,0.054
38,430.96,-0.779,0.048
39,434.3,-0.751,0.054
40,437.64,-0.718,0.046
41,440.98,-0.701,0.062
42,444.32,-0.733,0.074
43,447.66,-0.723,0.066
44,451,-0.668,0.076
45,454.34,-0.629,0.083
46,457.68,-0.604,0.099
47,461.02,-0.627,0.09
48,464.36,-0.561,0.1
49,467.7,-0.568,0.084
50,471.04,-0.579,0.103
51,474.38,-0.6,0.108
52,477.73,-0.608,0.096
53,481.07,-0.601,0.089
54,484.41,-0.558,0.097
55,487.75,-0.498,0.114
56,491.1,-0.406,0.114
57,494.44,-0.334,0.105
58,497.78,-0.292,0.102
59,501.12,-0.259,0.098
60,504.47,-0.252,0.101
61,507.81,-0.256,0.099
62,511.15,-0.222,0.119
63,514.49,-0.2,0.095
64,517.84,-0.207,0.089
65,521.18,-0.239,0.089
66,524.52,-0.229,0.091
67,527.87,-0.22,0.095
68,531.21,-0.22,0.099
69,534.55,-0.145,0.091
70,537.9,-0.096,0.097
71,541.24,-0.056,0.103
72,544.58,-0.019,0.107
73,547.92,0.046,0.107
74,551.27,0.096,0.108
75,554.61,0.107,0.102
76,557.95,0.162,0.104
77,561.29,0.171,0.099
78,564.64,0.171,0.108
79,567.98,0.159,0.115
80,571.32,0.186,0.125
81,574.66,0.202,0.112
82,578,0.173,0.115
83,581.35,0.206,0.12
84,584.69,0.2,0.102
85,588.03,0.145,0.122
86,591.37,0.204,0.129
87,594.71,0.173,0.139
88,598.05,0.165,0.152
89,601.39,0.071,0.149
90,604.73,-0.062,0.142
91,608.07,-0.009,0.181
92,611.41,0.593,0.146
93,614.75,1.506,0.107
94,618.09,1.457,0.234
95,621.43,0.491,0.306
96,624.77,-0.506,0.115
97,628.1,-1.019,0.334
98,631.44,-0.415,0.371
99,634.78,-0.154,0.242
100,638.12,0.355,0.138
101,641.45,1.068,0.081
102,644.79,1.006,0.076
103,648.13,0.727,0.12
104,651.46,0.707,0.139
105,654.8,0.731,0.135
106,658.13,0.698,0.141
107,661.47,0.706,0.128
108,664.8,0.741,0.116
109,668.13,0.728,0.133
110,671.47,0.766,0.143
111,674.8,0.809,0.13
112,678.13,0.833,0.119
113,681.46,0.847,0.127
114,684.79,0.834,0.123
115,688.12,0.89,0.113
116,691.46,0.909,0.123
117,694.79,0.885,0.147
118,698.11,0.959,0.141
119,701.44,0.984,0.121
120,704.77,0.999,0.138
121,708.1,1.087,0.094
122,711.43,1.079,0.103
123,714.75,1.073,0.133
124,718.08,1.017,0.147
125,721.4,1.037,0.121
126,724.73,1.033,0.118
127,728.05,1.001,0.117
128,731.38,0.975,0.12
129,734.7,0.935,0.126
130,738.02,0.903,0.141
131,741.34,0.96,0.149
132,744.66,1.058,0.122
133,747.98,1.16,0.1
134,751.3,1.247,0.115
135,754.62,1.313,0.115
136,757.94,1.444,0.141
137,761.26,1.539,0.115
138,764.57,1.601,0.107
139,767.89,1.729,0.122
140,771.2,1.791,0.113
141,774.52,1.88,0.122
142,777.83,1.984,0.127
143,781.14,2.113,0.146
144,784.46,2.24,0.139
145,787.77,2.32,0.131
146,791.08,2.345,0.121
147,794.39,2.405,0.119
148,797.7,2.443,0.121
149,801,2.443,0.148
150,804.31,2.595,0.161
151,807.62,2.628,0.157
152,810.92,2.676,0.143
153,814.23,2.722,0.145
154,817.53,2.712,0.111
155,820.83,2.686,0.103
156,824.14,2.671,0.124
157,827.44,2.652,0.154
158,830.74,2.575,0.135
159,834.03,2.503,0.149
160,837.33,2.494,0.152
161,840.63,2.53,0.173
162,843.93,2.63,0.151
163,847.22,2.735,0.108
164,850.51,2.808,0.102
165,853.81,2.834,0.102
166,857.1,2.872,0.118
167,860.39,2.972,0.143
168,863.68,3.123,0.145
169,866.97,3.227,0.12
170,870.26,3.302,0.108
171,873.54,3.366,0.123
172,876.83,3.452,0.102
173,880.11,3.488,0.124
174,883.4,3.558,0.128
175,886.68,3.696,0.106
176,889.96,3.731,0.129
177,893.24,3.758,0.115
178,896.52,3.746,0.11
179,899.8,3.813,0.134
180,903.08,3.88,0.116
